
"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Hospital 30-Day Readmission Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack","Footnote - Hospital 30-Day Readmission Rates from Heart Attack","Hospital 30-Day Readmission Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure","Footnote - Hospital 30-Day Readmission Rates from Heart Failure","Hospital 30-Day Readmission Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia","Footnote - Hospital 30-Day Readmission Rates from Pneumonia"
"050091","COMMUNITY AND MISSION  HOSPITAL OF HUNTINGTON PARK","2623 E SLAUSON AVE","","","HUNTINGTON PARK","CA","90255","LOS ANGELES","3235831931","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","9.6","No Different than U.S. National Rate","6.6","13.8","86","","11.4","No Different than U.S. National Rate","7.7","16.1","45","","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.0","No Different than U.S. National Rate","19.9","29.1","106","","19.8","No Different than U.S. National Rate","15.6","24.8","46",""
"050093","SAINT AGNES MEDICAL CENTER","1303 E HERNDON AVE","","","FRESNO","CA","93710","FRESNO","5594503000","13.7","No Different than U.S. National Rate","11.7","16.0","559","","12.6","No Different than U.S. National Rate","11.0","14.3","1161","","14.4","Worse than U.S. National Rate","12.7","16.2","1090","","19.8","No Different than U.S. National Rate","17.1","22.7","541","","24.8","No Different than U.S. National Rate","22.8","27.0","1348","","18.1","No Different than U.S. National Rate","16.0","20.3","1062",""
"050096","DOCTORS HOSPITAL OF WEST COVINA, INC","725 S ORANGE AVE","","","WEST COVINA","CA","91790","LOS ANGELES","6263388481","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"050099","SAN ANTONIO COMMUNITY HOSPITAL","999 SAN BERNARDINO RD","","","UPLAND","CA","91786","SAN BERNARDINO","7149852811","17.2","No Different than U.S. National Rate","14.1","20.9","212","","10.4","No Different than U.S. National Rate","8.3","12.9","395","","11.1","No Different than U.S. National Rate","8.9","13.6","410","","19.1","No Different than U.S. National Rate","15.9","22.7","193","","23.2","No Different than U.S. National Rate","20.3","26.2","492","","16.4","No Different than U.S. National Rate","14.0","19.2","440",""
"050100","SHARP MEMORIAL HOSPITAL","7901 FROST ST","","","SAN DIEGO","CA","92123","SAN DIEGO","8589393400","13.8","No Different than U.S. National Rate","10.9","17.1","226","","12.4","No Different than U.S. National Rate","9.9","15.2","370","","12.9","No Different than U.S. National Rate","10.7","15.9","441","","20.8","No Different than U.S. National Rate","17.4","24.4","264","","25.8","No Different than U.S. National Rate","22.5","29.3","434","","17.1","No Different than U.S. National Rate","14.4","20.2","438",""
"050101","SUTTER SOLANO MEDICAL CENTER","300 HOSPITAL DR","","","VALLEJO","CA","94589","SOLANO","7075545280","15.8","No Different than U.S. National Rate","12.0","20.5","44","","11.2","No Different than U.S. National Rate","8.3","14.9","115","","12.6","No Different than U.S. National Rate","9.7","16.0","106","","19.7","No Different than U.S. National Rate","15.5","24.5","26","","23.1","No Different than U.S. National Rate","19.3","27.6","137","","17.2","No Different than U.S. National Rate","13.8","21.2","107",""
"050102","PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER","3865 JACKSON STREET","","","RIVERSIDE","CA","92503","RIVERSIDE","9516882211","16.9","No Different than U.S. National Rate","13.0","21.6","50","","11.0","No Different than U.S. National Rate","8.1","14.8","115","","12.2","No Different than U.S. National Rate","9.5","15.3","191","","19.7","No Different than U.S. National Rate","15.8","24.3","30","","23.7","No Different than U.S. National Rate","19.8","27.9","122","","20.4","No Different than U.S. National Rate","17.0","24.3","204",""
"050103","WHITE MEMORIAL MEDICAL CENTER","1720 E CESAR AVENUE","","","LOS ANGELES","CA","90033","LOS ANGELES","3232685000","13.9","No Different than U.S. National Rate","10.7","17.8","129","","8.7","Better than U.S. National Rate","6.5","11.3","258","","9.3","No Different than U.S. National Rate","7.2","12.0","210","","21.2","No Different than U.S. National Rate","17.6","25.4","130","","25.3","No Different than U.S. National Rate","21.9","29.0","325","","18.0","No Different than U.S. National Rate","14.9","21.4","217",""
"050104","SAINT FRANCIS MEDICAL CENTER","3630 EAST IMPERIAL HIGHWAY","","","LYNWOOD","CA","90262","LOS ANGELES","3109008900","13.6","No Different than U.S. National Rate","10.2","17.8","73","","8.6","Better than U.S. National Rate","6.5","11.2","255","","9.9","No Different than U.S. National Rate","7.2","13.3","98","","18.8","No Different than U.S. National Rate","15.0","22.9","68","","23.3","No Different than U.S. National Rate","20.2","26.8","324","","18.1","No Different than U.S. National Rate","14.7","22.0","104",""
"050107","MARIAN REGIONAL MEDICAL CENTER","1400 E CHURCH ST","","","SANTA MARIA","CA","93454","SANTA BARBARA","8057393000","18.4","No Different than U.S. National Rate","15.1","22.2","186","","13.9","No Different than U.S. National Rate","11.2","17.3","265","","13.4","No Different than U.S. National Rate","10.5","16.9","259","","18.5","No Different than U.S. National Rate","15.3","22.5","164","","24.1","No Different than U.S. National Rate","20.7","27.9","288","","17.2","No Different than U.S. National Rate","14.2","20.5","270",""
"050108","SUTTER GENERAL HOSPITAL","2801 L STREET","","","SACRAMENTO","CA","95816","SACRAMENTO","9167338999","14.9","No Different than U.S. National Rate","12.1","18.4","285","","10.4","No Different than U.S. National Rate","8.4","12.8","385","","10.4","No Different than U.S. National Rate","8.2","12.8","380","","17.4","No Different than U.S. National Rate","14.7","20.5","379","","23.2","No Different than U.S. National Rate","20.4","26.3","515","","17.6","No Different than U.S. National Rate","15.0","20.7","432",""
"050110","LOMPOC VALLEY MEDICAL CENTER","1515 E OCEAN AVENUE","","","LOMPOC","CA","93436","SANTA BARBARA","8057373300","15.9","No Different than U.S. National Rate","12.1","20.3","27","","12.6","No Different than U.S. National Rate","9.3","16.6","114","","17.0","Worse than U.S. National Rate","13.3","21.3","163","","Not Available","Number of Cases Too Small","Not Available","Not Available","18","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.0","No Different than U.S. National Rate","20.6","29.9","116","","16.4","No Different than U.S. National Rate","13.0","20.6","144",""
"050111","TEMPLE COMMUNITY HOSPITAL","235 N HOOVER ST","","","LOS ANGELES","CA","90004","LOS ANGELES","2133827252","15.8","No Different than U.S. National Rate","12.0","20.6","32","","10.0","No Different than U.S. National Rate","7.3","13.4","121","","11.7","No Different than U.S. National Rate","8.8","15.5","86","","19.5","No Different than U.S. National Rate","15.5","24.1","28","","25.8","No Different than U.S. National Rate","21.7","30.2","141","","19.0","No Different than U.S. National Rate","15.3","23.1","76",""
"050112","SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL","1250 16TH STREET","","","SANTA MONICA","CA","90404","LOS ANGELES","3103194000","13.9","No Different than U.S. National Rate","11.1","17.0","147","","9.0","Better than U.S. National Rate","7.2","11.4","337","","9.7","Better than U.S. National Rate","7.8","11.9","356","","19.6","No Different than U.S. National Rate","16.1","23.7","133","","24.3","No Different than U.S. National Rate","21.4","27.5","415","","21.1","No Different than U.S. National Rate","17.9","24.3","382",""
"050113","SAN MATEO MEDICAL CENTER","222 W 39TH AVE","","","SAN MATEO","CA","94403","SAN MATEO","6505732222","Not Available","Number of Cases Too Small","Not Available","Not Available","20","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","19","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","13.6","No Different than U.S. National Rate","9.7","18.9","28","","Not Available","Number of Cases Too Small","Not Available","Not Available","10","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.6","No Different than U.S. National Rate","19.6","30.0","27","","18.7","No Different than U.S. National Rate","14.5","23.7","25",""
"050115","PALOMAR MEDICAL CENTER","555 E VALLEY PARKWAY","","","ESCONDIDO","CA","92025","SAN DIEGO","7607393000","15.3","No Different than U.S. National Rate","12.3","18.8","224","","11.5","No Different than U.S. National Rate","9.3","14.2","313","","13.2","No Different than U.S. National Rate","10.4","16.8","241","","18.3","No Different than U.S. National Rate","14.9","22.1","232","","23.7","No Different than U.S. National Rate","20.5","27.4","375","","17.1","No Different than U.S. National Rate","14.2","20.7","264",""
"050116","NORTHRIDGE HOSPITAL MEDICAL CENTER","18300 ROSCOE BLVD","","","NORTHRIDGE","CA","91325","LOS ANGELES","8188858500","14.3","No Different than U.S. National Rate","11.6","17.4","226","","9.7","No Different than U.S. National Rate","7.7","12.0","382","","9.2","Better than U.S. National Rate","7.2","11.5","302","","19.9","No Different than U.S. National Rate","16.9","23.4","228","","24.6","No Different than U.S. National Rate","21.6","27.8","480","","18.3","No Different than U.S. National Rate","15.5","21.5","309",""
"050118","DOCTORS HOSPITAL OF MANTECA","1205 E NORTH ST","","","MANTECA","CA","95336","SAN JOAQUIN","2098233111","15.7","No Different than U.S. National Rate","12.0","20.2","41","","13.0","No Different than U.S. National Rate","10.0","16.7","188","","9.8","No Different than U.S. National Rate","7.3","12.9","183","","20.9","No Different than U.S. National Rate","16.6","25.7","25","","28.3","No Different than U.S. National Rate","24.1","32.8","225","","21.9","No Different than U.S. National Rate","18.0","26.1","188",""
"050121","ADVENTIST MEDICAL CENTER","115 MALL DRIVE","","","HANFORD","CA","93230","KINGS","5595829000","18.2","No Different than U.S. National Rate","14.7","22.2","112","","12.3","No Different than U.S. National Rate","10.0","15.1","367","","12.3","No Different than U.S. National Rate","10.1","15.1","459","","19.4","No Different than U.S. National Rate","15.5","23.4","63","","25.8","No Different than U.S. National Rate","22.7","29.2","469","","18.9","No Different than U.S. National Rate","16.0","22.1","451",""
"050122","DAMERON HOSPITAL","525 WEST ACACIA STREET","","","STOCKTON","CA","95203","SAN JOAQUIN","2099445550","15.9","No Different than U.S. National Rate","11.9","20.9","54","","15.5","Worse than U.S. National Rate","11.9","20.3","113","","12.8","No Different than U.S. National Rate","9.9","16.6","163","","20.9","No Different than U.S. National Rate","16.5","25.7","58","","27.5","No Different than U.S. National Rate","23.2","32.2","132","","18.1","No Different than U.S. National Rate","14.6","22.0","162",""
"050124","VERDUGO HILLS HOSPITAL","1812 VERDUGO BLVD","","","GLENDALE","CA","91209","LOS ANGELES","8187907100","16.3","No Different than U.S. National Rate","12.9","20.4","80","","9.9","No Different than U.S. National Rate","7.4","12.9","165","","12.8","No Different than U.S. National Rate","10.0","16.1","222","","19.4","No Different than U.S. National Rate","15.6","24.0","42","","23.8","No Different than U.S. National Rate","20.1","28.2","197","","18.0","No Different than U.S. National Rate","14.9","21.8","217",""
"050125","REGIONAL MEDICAL CENTER OF SAN JOSE","225 N JACKSON AVENUE","","","SAN JOSE","CA","95116","SANTA CLARA","4082595000","13.9","No Different than U.S. National Rate","11.1","17.1","186","","8.1","Better than U.S. National Rate","6.4","10.3","425","","11.4","No Different than U.S. National Rate","9.1","14.2","425","","18.7","No Different than U.S. National Rate","15.5","22.5","169","","25.9","No Different than U.S. National Rate","22.7","29.2","476","","18.4","No Different than U.S. National Rate","15.6","21.3","412",""
"050126","VALLEY PRESBYTERIAN HOSPITAL","15107 VANOWEN ST","","","VAN NUYS","CA","91406","LOS ANGELES","8189023906","14.7","No Different than U.S. National Rate","11.9","18.0","168","","9.3","Better than U.S. National Rate","7.5","11.5","367","","11.2","No Different than U.S. National Rate","9.0","13.9","246","","19.0","No Different than U.S. National Rate","15.8","22.7","188","","25.5","No Different than U.S. National Rate","22.5","28.8","431","","19.2","No Different than U.S. National Rate","16.1","22.6","245",""
"050127","WOODLAND MEMORIAL HOSPITAL","1325 COTTONWOOD STREET","","","WOODLAND","CA","95695","YOLO","5306623961","15.6","No Different than U.S. National Rate","11.8","20.1","31","","13.3","No Different than U.S. National Rate","9.4","17.9","53","","14.6","No Different than U.S. National Rate","11.1","18.8","108","","19.7","No Different than U.S. National Rate","15.4","25.1","25","","21.6","No Different than U.S. National Rate","17.6","26.5","71","","17.5","No Different than U.S. National Rate","14.0","21.7","108",""
"050128","TRI-CITY MEDICAL CENTER","4002 VISTA WAY","","","OCEANSIDE","CA","92056","SAN DIEGO","7607248411","15.3","No Different than U.S. National Rate","12.7","18.3","253","","12.9","No Different than U.S. National Rate","10.5","15.9","369","","14.5","Worse than U.S. National Rate","12.1","17.4","483","","16.1","No Different than U.S. National Rate","13.2","20.0","243","","21.2","Better than U.S. National Rate","18.4","24.4","465","","16.0","No Different than U.S. National Rate","13.6","18.9","539",""
"050129","ST BERNARDINE MEDICAL CENTER","2101 N WATERMAN AVE","","","SAN BERNARDINO","CA","92404","SAN BERNARDINO","9098814440","14.9","No Different than U.S. National Rate","11.7","18.5","209","","10.7","No Different than U.S. National Rate","8.1","13.9","247","","10.1","No Different than U.S. National Rate","7.7","13.1","226","","20.5","No Different than U.S. National Rate","17.4","24.0","335","","24.5","No Different than U.S. National Rate","21.1","28.1","322","","16.7","No Different than U.S. National Rate","13.8","19.9","244",""
"050131","NOVATO COMMUNITY HOSPITAL","180 ROWLAND WAY","","","NOVATO","CA","94945","MARIN","4152091300","14.2","No Different than U.S. National Rate","10.7","18.4","37","","10.3","No Different than U.S. National Rate","7.5","13.9","103","","12.6","No Different than U.S. National Rate","9.0","17.1","81","","19.1","No Different than U.S. National Rate","14.9","23.7","30","","22.3","No Different than U.S. National Rate","18.2","26.7","120","","17.8","No Different than U.S. National Rate","14.2","22.1","82",""
